2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-08,2016-10-09,2016-10-10
231,164,182,303,247,256,239
67,81,67,112,34,0,0
86,60,73,152,70,77,68
92,105,109,132,112,88,78
257,131,1,77,298,276,312
75,74,105,80,93,85,64
117,82,83,140,96,157,117
66,39,51,85,82,60,72
247,185,182,272,227,233,234
78,111,74,57,100,67,71
78,106,94,89,81,56,84
69,67,101,223,56,76,62
213,230,204,222,217,227,225
70,67,43,85,65,58,64
107,121,117,145,133,132,112
46,43,46,143,49,35,31
87,89,93,116,89,82,74
74,79,115,101,63,98,68
146,138,100,174,150,143,138
89,156,167,132,157,157,160
63,0,54,84,67,75,72
99,86,105,94,86,57,80
22,17,5,12,18,12,4
42,50,59,90,43,57,36
126,105,116,152,97,114,142
50,32,76,59,72,88,85
93,92,83,88,84,74,100
0,0,56,110,66,76,53
119,125,120,162,86,114,82
34,40,55,61,58,47,53
375,359,324,428,412,290,308
482,454,474,238,397,406,425
60,65,68,95,84,63,77
348,402,321,576,353,341,327
152,148,150,146,203,172,141
60,53,52,94,67,62,75
212,220,181,241,168,200,199
128,89,82,80,94,85,90
299,215,205,384,220,216,236
75,10,6,81,85,90,64
135,125,135,220,132,175,144
104,55,94,65,81,95,74
54,86,117,210,114,86,62
55,44,58,53,52,68,51
50,48,44,101,38,24,22
206,183,117,169,177,178,181
189,189,166,161,156,152,155
455,397,380,490,467,406,405
374,376,267,475,448,454,369
52,44,53,58,75,66,46
62,60,25,51,65,73,69
49,46,76,138,76,106,51
153,127,114,165,110,123,134
322,331,354,306,404,364,322
309,285,297,375,273,261,260
47,63,50,77,53,58,50
278,407,458,527,372,293,286
1454,1256,1354,1728,1664,1728,1651
204,204,261,576,216,123,138
134,119,151,154,128,150,154
64,71,80,91,78,65,62
90,65,92,101,74,93,89
233,169,215,220,217,213,169
0,0,0,73,143,107,120
0,0,0,0,289,436,341
73,65,77,153,61,62,51
75,62,68,103,55,56,63
65,60,50,56,68,57,65
83,98,91,132,116,113,93
50,61,54,60,45,74,45
144,148,180,210,140,146,163
530,416,510,468,498,472,485
80,84,104,112,100,100,96
101,105,102,252,101,94,108
60,40,62,45,43,68,60
2,2,19,42,49,36,32
122,147,162,191,105,100,110
62,67,53,51,51,50,42
163,145,146,147,98,131,124
52,42,55,57,58,73,48
107,88,91,98,120,112,133
100,82,127,220,115,108,136
123,115,80,150,88,133,132
131,141,163,271,154,164,142
78,58,67,97,71,75,80
119,110,122,151,119,97,136
147,18,128,151,123,163,141
366,347,464,553,385,488,397
41,33,43,64,32,46,44
204,170,157,320,222,249,215
60,91,96,86,79,115,89
105,100,114,150,123,131,101
154,157,136,137,172,143,167
128,159,199,193,149,148,160
86,94,101,91,81,92,87
156,125,109,140,112,119,99
212,181,222,168,167,159,201
63,60,89,132,96,75,97
47,43,32,4,1,22,47
493,342,419,449,375,327,466
89,68,117,297,95,144,115
149,118,123,134,107,124,127
69,88,84,70,93,66,85
86,64,104,135,107,93,86
84,68,69,109,83,79,70
105,73,66,78,95,59,63
66,54,52,121,57,101,54
87,69,71,111,96,96,108
101,98,106,116,90,94,89
141,163,143,159,158,128,153
67,47,94,81,72,70,60
122,118,103,129,129,125,130
174,71,117,134,129,86,91
616,596,569,810,437,552,615
472,392,407,470,422,429,439
419,428,457,140,339,381,457
117,103,139,220,146,161,121
111,93,34,86,83,68,96
71,62,60,66,51,51,42
325,185,224,277,292,288,252
54,60,48,57,47,45,37
47,59,55,67,49,52,49
132,144,138,216,113,96,111
389,300,312,413,400,406,402
42,34,36,61,60,34,39
73,109,140,77,85,63,87
59,47,75,64,71,65,43
44,48,55,73,35,49,30
181,138,199,253,193,203,171
282,221,216,263,330,356,316
88,45,55,48,58,78,48
51,60,58,102,59,56,45
123,131,103,116,89,102,100
365,396,389,389,335,328,397
157,111,105,176,162,155,155
97,79,131,163,61,107,109
88,72,75,77,73,77,94
258,252,200,249,227,260,248
67,51,101,107,65,57,55
306,360,365,284,251,280,294
39,40,35,66,41,38,41
596,613,584,501,406,459,492
99,99,100,99,116,111,126
99,74,49,129,90,103,92
61,83,64,98,58,56,66
442,531,570,602,370,606,471
160,145,142,119,127,136,147
69,76,71,79,67,58,61
99,101,174,415,118,113,131
37,26,63,121,33,23,30
98,141,124,106,84,90,94
35,45,57,83,53,42,67
80,83,64,76,74,55,60
119,9,109,99,83,96,91
123,121,111,141,119,121,120
102,118,104,134,143,130,120
82,98,94,123,74,96,90
77,64,77,117,76,82,68
66,32,59,70,48,61,58
387,310,322,317,296,281,320
113,119,112,114,80,97,89
119,87,73,76,74,68,70
