shop_id,date,pay_count,operate_hour,browser_count,dayofweek,is_holiday,week_id
1,2016-09-06,262,15,102,1,0,1
1,2016-09-07,251,15,66,2,0,1
1,2016-09-08,283,15,100,3,0,1
1,2016-09-09,274,15,90,4,0,1
1,2016-09-10,252,15,85,5,1,1
1,2016-09-11,228,15,68,6,1,1
1,2016-09-12,220,16,92,0,0,1
1,2016-09-13,252,15,87,1,0,2
1,2016-09-14,196,15,141,2,0,2
1,2016-09-15,150,15,88,3,1,2
1,2016-09-16,252,16,100,4,1,2
1,2016-09-17,277,15,62,5,1,2
1,2016-09-18,233,15,123,6,0,2
1,2016-09-19,186,15,44,0,0,2
1,2016-09-20,223,15,31,1,0,3
1,2016-09-21,206,15,20,2,0,3
1,2016-09-22,220,15,22,3,0,3
1,2016-09-23,241,15,31,4,0,3
1,2016-09-24,272,15,25,5,1,3
1,2016-09-25,240,15,18,6,1,3
1,2016-09-26,225,15,25,0,0,3
1,2016-09-27,231,15,23,1,0,4
1,2016-09-28,164,14,30,2,0,4
1,2016-09-29,182,15,24,3,0,4
1,2016-09-30,303,15,33,4,0,4
1,2016-10-08,247,16,36,5,0,4
1,2016-10-09,256,15,35,6,0,4
1,2016-10-10,239,15,31,0,0,4
1,2016-10-11,254,15,45,1,0,5
1,2016-10-12,239,15,42,2,0,5
1,2016-10-13,228,15,26,3,0,5
1,2016-10-14,244,16,35,4,0,5
1,2016-10-15,264,15,30,5,1,5
1,2016-10-16,264,16,20,6,1,5
1,2016-10-17,207,15,25,0,0,5
1,2016-10-18,244,15,23,1,0,6
1,2016-10-19,177,15,29,2,0,6
1,2016-10-20,207,15,24,3,0,6
1,2016-10-21,230,15,20,4,0,6
1,2016-10-22,202,16,27,5,1,6
1,2016-10-23,243,15,25,6,1,6
1,2016-10-24,216,15,19,0,0,6
1,2016-10-25,255,15,21,1,0,7
1,2016-10-26,172,15,23,2,0,7
1,2016-10-27,226,15,24,3,0,7
1,2016-10-28,257,15,21,4,0,7
1,2016-10-29,251,15,32,5,1,7
1,2016-10-30,281,15,40,6,1,7
1,2016-10-31,180,16,14,0,0,7
2,2016-09-06,99,13,31,1,0,1
2,2016-09-07,120,13,24,2,0,1
2,2016-09-08,101,12,44,3,0,1
2,2016-09-09,115,12,33,4,0,1
2,2016-09-10,139,13,46,5,1,1
2,2016-09-11,130,13,45,6,1,1
2,2016-09-12,119,13,40,0,0,1
2,2016-09-13,102,13,37,1,0,2
2,2016-09-14,155,13,33,2,0,2
2,2016-09-15,160,13,49,3,1,2
2,2016-09-16,135,13,33,4,1,2
2,2016-09-17,126,13,54,5,1,2
2,2016-09-18,82,13,19,6,0,2
2,2016-09-19,74,12,33,0,0,2
2,2016-09-20,77,11,26,1,0,3
2,2016-09-21,82,12,30,2,0,3
2,2016-09-22,71,13,30,3,0,3
2,2016-09-23,71,12,28,4,0,3
2,2016-09-24,96,12,40,5,1,3
2,2016-09-25,121,13,40,6,1,3
2,2016-09-26,67,13,29,0,0,3
2,2016-09-27,67,12,25,1,0,4
2,2016-09-28,81,13,28,2,0,4
2,2016-09-29,67,13,20,3,0,4
2,2016-09-30,112,13,37,4,0,4
2,2016-10-08,34,6,27,5,0,4
2,2016-10-09,0,0,39,6,0,4
2,2016-10-10,0,0,32,0,0,4
2,2016-10-11,0,0,27,1,0,5
2,2016-10-12,0,0,25,2,0,5
2,2016-10-13,0,0,23,3,0,5
2,2016-10-14,0,0,25,4,0,5
2,2016-10-15,0,0,33,5,1,5
2,2016-10-16,0,0,30,6,1,5
2,2016-10-17,0,0,23,0,0,5
2,2016-10-18,0,0,26,1,0,6
2,2016-10-19,0,0,32,2,0,6
2,2016-10-20,0,0,23,3,0,6
2,2016-10-21,61,5,25,4,0,6
2,2016-10-22,155,13,28,5,1,6
2,2016-10-23,143,13,25,6,1,6
2,2016-10-24,78,13,9,0,0,6
2,2016-10-25,82,12,12,1,0,7
2,2016-10-26,97,13,10,2,0,7
2,2016-10-27,83,13,16,3,0,7
2,2016-10-28,96,13,11,4,0,7
2,2016-10-29,96,11,29,5,1,7
2,2016-10-30,115,13,41,6,1,7
2,2016-10-31,80,13,28,0,0,7
3,2016-09-06,51,11,0,1,0,1
3,2016-09-07,75,12,3,2,0,1
3,2016-09-08,82,12,0,3,0,1
3,2016-09-09,82,11,10,4,0,1
3,2016-09-10,116,12,2,5,1,1
3,2016-09-11,83,11,2,6,1,1
3,2016-09-12,61,12,4,0,0,1
3,2016-09-13,76,12,0,1,0,2
3,2016-09-14,79,11,3,2,0,2
3,2016-09-15,111,12,0,3,1,2
3,2016-09-16,101,12,4,4,1,2
3,2016-09-17,99,12,6,5,1,2
3,2016-09-18,62,12,2,6,0,2
3,2016-09-19,62,12,5,0,0,2
3,2016-09-20,62,10,6,1,0,3
3,2016-09-21,59,11,0,2,0,3
3,2016-09-22,55,11,4,3,0,3
3,2016-09-23,79,11,2,4,0,3
3,2016-09-24,112,12,3,5,1,3
3,2016-09-25,83,12,8,6,1,3
3,2016-09-26,88,11,2,0,0,3
3,2016-09-27,86,12,2,1,0,4
3,2016-09-28,60,12,4,2,0,4
3,2016-09-29,73,11,4,3,0,4
3,2016-09-30,152,12,11,4,0,4
3,2016-10-08,70,11,7,5,0,4
3,2016-10-09,77,11,13,6,0,4
3,2016-10-10,68,10,2,0,0,4
3,2016-10-11,68,11,15,1,0,5
3,2016-10-12,63,12,8,2,0,5
3,2016-10-13,56,11,9,3,0,5
3,2016-10-14,71,10,6,4,0,5
3,2016-10-15,119,12,10,5,1,5
3,2016-10-16,97,11,4,6,1,5
3,2016-10-17,75,12,4,0,0,5
3,2016-10-18,59,10,5,1,0,6
3,2016-10-19,71,11,3,2,0,6
3,2016-10-20,88,12,5,3,0,6
3,2016-10-21,103,12,5,4,0,6
3,2016-10-22,127,11,13,5,1,6
3,2016-10-23,125,12,2,6,1,6
3,2016-10-24,47,11,4,0,0,6
3,2016-10-25,80,12,6,1,0,7
3,2016-10-26,61,12,3,2,0,7
3,2016-10-27,68,10,4,3,0,7
3,2016-10-28,103,12,2,4,0,7
3,2016-10-29,102,11,7,5,1,7
3,2016-10-30,104,11,8,6,1,7
3,2016-10-31,67,10,3,0,0,7
4,2016-09-06,94,13,31,1,0,1
4,2016-09-07,126,13,27,2,0,1
4,2016-09-08,115,12,35,3,0,1
4,2016-09-09,133,13,37,4,0,1
4,2016-09-10,229,13,36,5,1,1
4,2016-09-11,197,13,59,6,1,1
4,2016-09-12,113,12,35,0,0,1
4,2016-09-13,97,13,32,1,0,2
4,2016-09-14,132,13,40,2,0,2
4,2016-09-15,246,13,51,3,1,2
4,2016-09-16,148,13,46,4,1,2
4,2016-09-17,138,13,21,5,1,2
4,2016-09-18,108,13,32,6,0,2
4,2016-09-19,96,13,26,0,0,2
4,2016-09-20,74,13,30,1,0,3
4,2016-09-21,101,13,22,2,0,3
4,2016-09-22,102,13,25,3,0,3
4,2016-09-23,98,13,20,4,0,3
4,2016-09-24,203,12,57,5,1,3
4,2016-09-25,199,13,37,6,1,3
4,2016-09-26,91,13,29,0,0,3
4,2016-09-27,92,11,14,1,0,4
4,2016-09-28,105,12,15,2,0,4
4,2016-09-29,109,12,30,3,0,4
4,2016-09-30,132,13,17,4,0,4
4,2016-10-08,112,12,34,5,0,4
4,2016-10-09,88,12,21,6,0,4
4,2016-10-10,78,13,33,0,0,4
4,2016-10-11,86,13,28,1,0,5
4,2016-10-12,113,13,27,2,0,5
4,2016-10-13,71,12,28,3,0,5
4,2016-10-14,121,13,20,4,0,5
4,2016-10-15,165,13,33,5,1,5
4,2016-10-16,200,12,46,6,1,5
4,2016-10-17,89,13,25,0,0,5
4,2016-10-18,90,13,19,1,0,6
4,2016-10-19,112,12,19,2,0,6
4,2016-10-20,59,11,13,3,0,6
4,2016-10-21,80,12,24,4,0,6
4,2016-10-22,211,13,40,5,1,6
4,2016-10-23,221,12,29,6,1,6
4,2016-10-24,81,13,15,0,0,6
4,2016-10-25,90,13,13,1,0,7
4,2016-10-26,104,11,14,2,0,7
4,2016-10-27,55,12,14,3,0,7
4,2016-10-28,110,12,12,4,0,7
4,2016-10-29,215,13,31,5,1,7
4,2016-10-30,196,13,21,6,1,7
4,2016-10-31,115,12,20,0,0,7
5,2016-09-06,0,0,1,1,0,1
5,2016-09-07,0,0,0,2,0,1
5,2016-09-08,0,0,0,3,0,1
5,2016-09-09,1,0,0,4,0,1
5,2016-09-10,0,0,0,5,1,1
5,2016-09-11,0,0,8,6,1,1
5,2016-09-12,0,0,3,0,0,1
5,2016-09-13,0,0,2,1,0,2
5,2016-09-14,49,3,1,2,0,2
5,2016-09-15,84,12,7,3,1,2
5,2016-09-16,167,15,3,4,1,2
5,2016-09-17,192,15,6,5,1,2
5,2016-09-18,216,15,10,6,0,2
5,2016-09-19,253,14,8,0,0,2
5,2016-09-20,277,14,6,1,0,3
5,2016-09-21,272,15,9,2,0,3
5,2016-09-22,309,15,4,3,0,3
5,2016-09-23,182,10,1,4,0,3
5,2016-09-24,179,10,3,5,1,3
5,2016-09-25,4,3,5,6,1,3
5,2016-09-26,305,13,3,0,0,3
5,2016-09-27,257,15,2,1,0,4
5,2016-09-28,131,11,3,2,0,4
5,2016-09-29,1,0,4,3,0,4
5,2016-09-30,77,6,2,4,0,4
5,2016-10-08,298,13,13,5,0,4
5,2016-10-09,276,15,13,6,0,4
5,2016-10-10,312,15,17,0,0,4
5,2016-10-11,223,15,12,1,0,5
5,2016-10-12,218,15,7,2,0,5
5,2016-10-13,230,15,9,3,0,5
5,2016-10-14,195,15,6,4,0,5
5,2016-10-15,185,13,1,5,1,5
5,2016-10-16,211,15,7,6,1,5
5,2016-10-17,274,15,1,0,0,5
5,2016-10-18,201,15,6,1,0,6
5,2016-10-19,210,14,2,2,0,6
5,2016-10-20,221,15,5,3,0,6
5,2016-10-21,187,14,11,4,0,6
5,2016-10-22,161,15,6,5,1,6
5,2016-10-23,240,14,5,6,1,6
5,2016-10-24,454,13,17,0,0,6
5,2016-10-25,302,13,13,1,0,7
5,2016-10-26,1,0,13,2,0,7
5,2016-10-27,0,0,8,3,0,7
5,2016-10-28,215,11,3,4,0,7
5,2016-10-29,203,14,5,5,1,7
5,2016-10-30,291,15,5,6,1,7
5,2016-10-31,239,15,5,0,0,7
6,2016-09-06,58,12,4,1,0,1
6,2016-09-07,55,12,1,2,0,1
6,2016-09-08,78,13,4,3,0,1
6,2016-09-09,71,13,6,4,0,1
6,2016-09-10,80,13,1,5,1,1
6,2016-09-11,67,12,6,6,1,1
6,2016-09-12,75,10,7,0,0,1
6,2016-09-13,77,12,4,1,0,2
6,2016-09-14,136,12,7,2,0,2
6,2016-09-15,65,9,4,3,1,2
6,2016-09-16,41,12,4,4,1,2
6,2016-09-17,61,12,2,5,1,2
6,2016-09-18,46,9,2,6,0,2
6,2016-09-19,46,7,8,0,0,2
6,2016-09-20,77,14,6,1,0,3
6,2016-09-21,68,12,2,2,0,3
6,2016-09-22,74,13,4,3,0,3
6,2016-09-23,73,12,6,4,0,3
6,2016-09-24,67,12,4,5,1,3
6,2016-09-25,89,13,5,6,1,3
6,2016-09-26,83,13,12,0,0,3
6,2016-09-27,75,13,7,1,0,4
6,2016-09-28,74,14,15,2,0,4
6,2016-09-29,105,13,9,3,0,4
6,2016-09-30,80,13,7,4,0,4
6,2016-10-08,93,13,6,5,0,4
6,2016-10-09,85,12,16,6,0,4
6,2016-10-10,64,12,9,0,0,4
6,2016-10-11,83,11,9,1,0,5
6,2016-10-12,91,13,11,2,0,5
6,2016-10-13,90,13,8,3,0,5
6,2016-10-14,121,12,10,4,0,5
6,2016-10-15,112,13,10,5,1,5
6,2016-10-16,137,13,10,6,1,5
6,2016-10-17,83,13,5,0,0,5
6,2016-10-18,104,12,12,1,0,6
6,2016-10-19,104,13,5,2,0,6
6,2016-10-20,90,12,9,3,0,6
6,2016-10-21,107,13,8,4,0,6
6,2016-10-22,88,13,9,5,1,6
6,2016-10-23,76,12,10,6,1,6
6,2016-10-24,104,13,7,0,0,6
6,2016-10-25,97,12,4,1,0,7
6,2016-10-26,100,12,5,2,0,7
6,2016-10-27,117,12,7,3,0,7
6,2016-10-28,133,13,4,4,0,7
6,2016-10-29,109,14,6,5,1,7
6,2016-10-30,118,11,13,6,1,7
6,2016-10-31,86,13,6,0,0,7
7,2016-09-06,226,15,39,1,0,1
7,2016-09-07,146,15,39,2,0,1
7,2016-09-08,140,15,32,3,0,1
7,2016-09-09,115,15,16,4,0,1
7,2016-09-10,138,15,18,5,1,1
7,2016-09-11,96,15,11,6,1,1
7,2016-09-12,135,16,16,0,0,1
7,2016-09-13,104,15,21,1,0,2
7,2016-09-14,100,15,20,2,0,2
7,2016-09-15,124,15,20,3,1,2
7,2016-09-16,156,15,33,4,1,2
7,2016-09-17,172,15,26,5,1,2
7,2016-09-18,118,15,10,6,0,2
7,2016-09-19,124,14,11,0,0,2
7,2016-09-20,105,15,16,1,0,3
7,2016-09-21,116,15,23,2,0,3
7,2016-09-22,105,15,12,3,0,3
7,2016-09-23,141,15,11,4,0,3
7,2016-09-24,168,15,14,5,1,3
7,2016-09-25,180,15,16,6,1,3
7,2016-09-26,109,15,11,0,0,3
7,2016-09-27,117,16,11,1,0,4
7,2016-09-28,82,15,11,2,0,4
7,2016-09-29,83,15,16,3,0,4
7,2016-09-30,140,15,30,4,0,4
7,2016-10-08,96,15,19,5,0,4
7,2016-10-09,157,15,23,6,0,4
7,2016-10-10,117,15,15,0,0,4
7,2016-10-11,136,15,24,1,0,5
7,2016-10-12,93,15,29,2,0,5
7,2016-10-13,128,15,14,3,0,5
7,2016-10-14,140,16,20,4,0,5
7,2016-10-15,183,15,34,5,1,5
7,2016-10-16,208,15,25,6,1,5
7,2016-10-17,135,14,7,0,0,5
7,2016-10-18,101,15,23,1,0,6
7,2016-10-19,94,15,18,2,0,6
7,2016-10-20,113,15,16,3,0,6
7,2016-10-21,132,15,14,4,0,6
7,2016-10-22,152,15,15,5,1,6
7,2016-10-23,200,15,20,6,1,6
7,2016-10-24,124,15,10,0,0,6
7,2016-10-25,128,15,10,1,0,7
7,2016-10-26,115,15,13,2,0,7
7,2016-10-27,111,15,21,3,0,7
7,2016-10-28,128,16,34,4,0,7
7,2016-10-29,165,15,21,5,1,7
7,2016-10-30,162,15,33,6,1,7
7,2016-10-31,81,15,10,0,0,7
8,2016-09-06,79,15,12,1,0,1
8,2016-09-07,99,15,8,2,0,1
8,2016-09-08,87,14,12,3,0,1
8,2016-09-09,79,15,8,4,0,1
8,2016-09-10,104,16,10,5,1,1
8,2016-09-11,65,12,7,6,1,1
8,2016-09-12,69,14,9,0,0,1
8,2016-09-13,55,15,4,1,0,2
8,2016-09-14,74,14,14,2,0,2
8,2016-09-15,64,12,8,3,1,2
8,2016-09-16,81,16,5,4,1,2
8,2016-09-17,60,16,5,5,1,2
8,2016-09-18,76,15,6,6,0,2
8,2016-09-19,60,14,14,0,0,2
8,2016-09-20,62,14,10,1,0,3
8,2016-09-21,65,14,10,2,0,3
8,2016-09-22,57,14,7,3,0,3
8,2016-09-23,71,15,4,4,0,3
8,2016-09-24,69,15,7,5,1,3
